,𝑽𝑬𝑵,𝑹𝑨𝑴,𝑨𝑵,𝑹𝑨,𝑹𝑪,𝑭𝑰𝑬,𝑬𝑨,𝑬𝑷,𝑫𝑬,𝜹𝑽𝑬𝑵,𝜹𝑹𝑨𝑴,𝜹𝑨𝑵,𝜹𝑹𝑨,𝜹𝑹𝑪,𝜹𝑭𝑰𝑬,𝜹𝑬𝑨,𝜹𝑬𝑷,𝜹𝑫𝑬,OP
0,10,58. 693,28,1.97,1.17,737.12,111.53,1.91,8,0,0,0,0,0,0,0,0,0,441
19,9.938,58.60471,27.938,1.97217,1.17217,737.9144,108.531,1.90752,7.93,0.120156,0.243649,0.120156,0.000147,0.000147,19.28394,282.4505,0.000192,0.120156,426
38,9.969,58.70044,27.969,1.97093,1.17031,737.8505,110.0594,1.90907,7.96,0.030039,0.00173,0.030039,2.7E05,3E-06,16.2701,68.24431,2.7E05,0.030039,423
57,9.858,58.49079,27.858,1.9 7497,1.1 7497,738.9279,104.6523,1.9 0432,7.85,0.263836,0.535,0.263836,0.000323,0.000323,42.34328,620.1988,0.000422,0.263836,420
76,9.817,58.08392,27.655,1.95537,1.16195,732.0017,106.0496,1.8894,7.83,0.15415,0.522389,0.208784,0.000483,0.000259,78.1962,342.5482,0.000506,0.15129,422
95,9.929,58.71004,27.929,1.97213,1.17071,738.7814,108.1529,1.90787,7.92,0.065959,0.003799,0.065959,5.94E-05,6.6E06,35.72554,149.8494,5.94E-05,0.065959,427
114,9.796,58.4025,27.796,1.97714,1.17714,739.7134,101.6463,1.90184,7.79,0.366384,0.742945,0.366384,0.000449,0.000449,58.8013,861.2582,0.000586,0.366384,420
133,9.827,58.49823,27.827,1.9759,1.17528,739.6494,103.1747,1.90339,7.82,0.285071,0.539739,0.285071,0.000341,0.000323,56.01766,668.0976,0.000439,0.285071,427
152,9.867,58.62175,27.867,1.9743,1.17288,739.5668,105.1468,1.90539,7.86,0.177311,0.250458,0.177311,0.000197,0.000151,52.41377,411.9544,0.000241,0.177311,427
171,9.898,58.71748,27.898,1.97306,1.17102,739.5028,106.6753,1.90694,7.89,0.091596,0.005276,0.091596,8.24E-05,9.16E-06,49.61137,208.093,8.24E-05,0.091596,438
